pollster,grade,population,end_date,yes,sample_size,no,pollster_rating_id
Morning Consult,1.0,a,2021-07-16,52.0,45000.0,39.0,218
Ipsos,1.05,a,2021-07-15,53.43,1005.0,41.64,154
Rasmussen (Pulse Opinion Research),0.93,lv,2021-07-15,49.0,1500.0,49.0,277
YouGov,0.93,a,2021-07-15,50.0,1715.0,42.0,391
Morning Consult,1.0,a,2021-07-15,52.0,45000.0,39.0,218
Rasmussen (Pulse Opinion Research),0.93,lv,2021-07-14,48.0,1500.0,50.0,277
Morning Consult,1.0,a,2021-07-14,52.0,45000.0,39.0,218
Rasmussen (Pulse Opinion Research),0.93,lv,2021-07-13,49.0,1500.0,49.0,277
YouGov,0.93,rv,2021-07-13,49.0,1292.0,45.0,391
Morning Consult,1.0,a,2021-07-13,54.0,4398.0,39.0,218
Morning Consult,1.0,a,2021-07-13,52.0,45000.0,39.0,218
Morning Consult,1.0,rv,2021-07-12,52.0,1996.0,45.0,218
Rasmussen (Pulse Opinion Research),0.93,lv,2021-07-12,49.0,1500.0,49.0,277
Morning Consult,1.0,a,2021-07-12,52.0,45000.0,39.0,218
Rasmussen (Pulse Opinion Research),0.93,lv,2021-07-11,49.0,1500.0,49.0,277
Morning Consult,1.0,a,2021-07-11,52.0,45000.0,39.0,218
RMG Research,0.85,rv,2021-07-10,51.0,1200.0,41.0,555
"Cor Services, Inc.",0.6,lv,2021-07-10,46.0,518.0,46.0,688
Morning Consult,1.0,rv,2021-07-10,53.0,3995.0,45.0,218
Morning Consult,1.0,a,2021-07-10,52.0,45000.0,39.0,218
HarrisX,1.05,rv,2021-07-09,59.0,938.0,41.0,133
Morning Consult,1.0,a,2021-07-09,53.0,45000.0,39.0,218
Ipsos,1.05,a,2021-07-08,52.1,1004.0,43.13,154
Morning Consult,1.0,a,2021-07-08,53.0,45000.0,39.0,218
Rasmussen (Pulse Opinion Research),0.93,lv,2021-07-07,49.0,1500.0,49.0,277
Rasmussen (Pulse Opinion Research),0.93,lv,2021-07-07,49.0,1500.0,50.0,277
Morning Consult,1.0,a,2021-07-07,53.0,45000.0,39.0,218
Zogby,0.85,lv,2021-07-06,60.0,681.0,39.0,395
YouGov,0.93,rv,2021-07-06,51.0,1281.0,44.0,391
Rasmussen (Pulse Opinion Research),0.93,lv,2021-07-06,49.0,1500.0,50.0,277
Morning Consult,1.0,a,2021-07-06,52.0,45000.0,39.0,218
Morning Consult,1.0,a,2021-07-06,56.0,2193.0,38.0,218
Morning Consult,1.0,a,2021-07-05,52.0,45000.0,39.0,218
Léger,0.9,a,2021-07-04,56.0,1003.0,43.0,572
Morning Consult,1.0,a,2021-07-04,52.0,45000.0,39.0,218
Morning Consult,1.0,a,2021-07-03,52.0,45000.0,39.0,218
TIPP,1.3,rv,2021-07-02,54.0,1145.0,38.0,144
Morning Consult,1.0,a,2021-07-02,52.0,45000.0,39.0,218
Ipsos,1.05,a,2021-07-01,51.5,1004.0,41.95,154
Rasmussen (Pulse Opinion Research),0.93,lv,2021-07-01,48.0,1500.0,50.0,277
Morning Consult,1.0,a,2021-07-01,53.0,45000.0,39.0,218
HarrisX,1.05,rv,2021-06-30,60.0,950.0,40.0,133
Rasmussen (Pulse Opinion Research),0.93,lv,2021-06-30,48.0,1500.0,49.0,277
ABC/Washington Post,1.2,a,2021-06-30,50.0,907.0,42.0,3
Morning Consult,1.0,a,2021-06-30,53.0,45000.0,39.0,218
Rasmussen (Pulse Opinion Research),0.93,lv,2021-06-29,48.0,1500.0,50.0,277
YouGov,0.93,rv,2021-06-29,50.0,1290.0,46.0,391
Morning Consult,1.0,a,2021-06-29,53.0,45000.0,39.0,218
Marist,1.0,rv,2021-06-29,51.0,905.0,44.0,183
Morning Consult,1.0,rv,2021-06-28,54.0,1989.0,43.0,218
Rasmussen (Pulse Opinion Research),0.93,lv,2021-06-28,49.0,1500.0,49.0,277
Global Strategy Group/GBAO/Navigator Research,0.9,rv,2021-06-28,54.0,1000.0,43.0,413
Morning Consult,1.0,a,2021-06-28,53.0,45000.0,39.0,218
Rasmussen (Pulse Opinion Research),0.93,lv,2021-06-27,49.0,1500.0,49.0,277
Morning Consult,1.0,a,2021-06-27,53.0,45000.0,39.0,218
Morning Consult,1.0,a,2021-06-26,53.0,45000.0,39.0,218
Morning Consult,1.0,a,2021-06-25,53.0,45000.0,39.0,218
Ipsos,1.05,a,2021-06-24,52.6,1005.0,40.23,154
YouGov,0.93,a,2021-06-24,50.0,1592.0,43.0,391
Morning Consult,1.0,a,2021-06-24,58.0,2200.0,38.0,218
Rasmussen (Pulse Opinion Research),0.93,lv,2021-06-24,51.0,1500.0,47.0,277
Morning Consult,1.0,a,2021-06-24,53.0,45000.0,39.0,218
Rasmussen (Pulse Opinion Research),0.93,lv,2021-06-23,51.0,1500.0,47.0,277
Morning Consult,1.0,a,2021-06-23,58.0,2082.0,38.0,218
Morning Consult,1.0,a,2021-06-23,53.0,45000.0,39.0,218
YouGov,0.93,rv,2021-06-23,51.0,1753.0,46.7,391
Rasmussen (Pulse Opinion Research),0.93,lv,2021-06-22,52.0,1500.0,46.0,277
YouGov,0.93,rv,2021-06-22,52.0,1223.0,44.0,391
Beacon Research/Shaw & Company,1.0,rv,2021-06-22,56.0,1001.0,43.0,103
Echelon Insights,0.9,rv,2021-06-22,55.0,1001.0,42.0,407
Morning Consult,1.0,a,2021-06-22,54.0,45000.0,39.0,218
Rasmussen (Pulse Opinion Research),0.93,lv,2021-06-21,51.0,1500.0,47.0,277
Morning Consult,1.0,a,2021-06-21,54.0,45000.0,38.0,218
GQR / Democracy Corps,0.93,rv,2021-06-21,57.0,2000.0,43.0,126
Léger,0.9,a,2021-06-20,49.0,1001.0,40.0,572
Morning Consult,1.0,rv,2021-06-20,54.0,2041.0,43.0,218
Morning Consult,1.0,rv,2021-06-20,58.0,1995.0,40.0,218
American Research Group,0.75,rv,2021-06-20,52.0,990.0,43.0,9
Rasmussen (Pulse Opinion Research),0.93,lv,2021-06-20,52.0,1500.0,46.0,277
McLaughlin,0.4,lv,2021-06-20,55.0,1000.0,44.0,203
Morning Consult,1.0,a,2021-06-20,53.0,45000.0,38.0,218
Morning Consult,1.0,a,2021-06-19,56.0,2200.0,38.0,218
East Carolina University,0.6,a,2021-06-19,47.9,1105.0,40.9,523
Morning Consult,1.0,a,2021-06-19,53.0,45000.0,39.0,218
Morning Consult,1.0,a,2021-06-18,53.0,45000.0,39.0,218
Gallup,1.05,a,2021-06-18,56.0,1012.0,42.0,112
Ipsos,1.05,a,2021-06-17,51.57,1002.0,42.25,154
Rasmussen (Pulse Opinion Research),0.93,lv,2021-06-17,51.0,1500.0,48.0,277
Harris Poll,1.05,rv,2021-06-17,59.0,2006.0,34.0,133
Morning Consult,1.0,a,2021-06-17,53.0,45000.0,39.0,218
Ipsos,1.05,a,2021-06-17,55.0,4420.0,41.0,154
Rasmussen (Pulse Opinion Research),0.93,lv,2021-06-16,50.0,1500.0,48.0,277
Morning Consult,1.0,a,2021-06-16,53.0,45000.0,39.0,218
Rasmussen (Pulse Opinion Research),0.93,lv,2021-06-15,50.0,1500.0,48.0,277
YouGov,0.93,rv,2021-06-15,48.0,1305.0,45.0,391
Climate Nexus,0.6,rv,2021-06-15,56.0,1525.0,39.0,506
Momentive,0.75,a,2021-06-15,53.0,2309.0,42.0,324
Morning Consult,1.0,a,2021-06-15,53.0,45000.0,39.0,218
Rasmussen (Pulse Opinion Research),0.93,lv,2021-06-14,49.0,1500.0,49.0,277
Global Strategy Group/GBAO/Navigator Research,0.9,rv,2021-06-14,52.0,1001.0,44.0,413
AP-NORC,0.6,a,2021-06-14,55.0,1125.0,44.0,397
Monmouth U.,1.0,rv,2021-06-14,49.0,758.0,43.0,215
Morning Consult,1.0,a,2021-06-14,52.0,45000.0,39.0,218
Morning Consult,1.0,rv,2021-06-13,53.0,1994.0,44.0,218
Rasmussen (Pulse Opinion Research),0.93,lv,2021-06-13,49.0,1500.0,50.0,277
Morning Consult,1.0,a,2021-06-13,53.0,45000.0,39.0,218
Morning Consult,1.0,a,2021-06-12,53.0,45000.0,39.0,218
Morning Consult,1.0,a,2021-06-11,53.0,45000.0,39.0,218
Ipsos,1.05,a,2021-06-10,54.95,1004.0,40.26,154
Rasmussen (Pulse Opinion Research),0.93,lv,2021-06-10,49.0,1500.0,49.0,277
Winston,0.9,rv,2021-06-10,54.0,1000.0,38.0,385
Lake Research Partners/The Tarrance Group,1.1,rv,2021-06-10,52.0,1000.0,45.0,114
Morning Consult,1.0,a,2021-06-10,52.0,45000.0,39.0,218
Rasmussen (Pulse Opinion Research),0.93,lv,2021-06-09,52.0,1500.0,47.0,277
HarrisX,1.05,rv,2021-06-09,61.0,1885.0,39.0,133
Morning Consult,1.0,a,2021-06-09,52.0,45000.0,39.0,218
Rasmussen (Pulse Opinion Research),0.93,lv,2021-06-08,51.0,1500.0,48.0,277
YouGov,0.93,rv,2021-06-08,51.0,1242.0,43.0,391
Morning Consult,1.0,a,2021-06-08,51.0,2200.0,41.0,218
Morning Consult,1.0,a,2021-06-08,52.0,45000.0,39.0,218
Morning Consult,1.0,rv,2021-06-07,52.0,1990.0,43.0,218
Morning Consult,1.0,a,2021-06-07,54.0,2200.0,40.0,218
Rasmussen (Pulse Opinion Research),0.93,lv,2021-06-07,49.0,1500.0,49.0,277
Bullfinch,0.6,rv,2021-06-07,55.0,1000.0,42.0,692
Morning Consult,1.0,a,2021-06-07,53.0,45000.0,39.0,218
Léger,0.9,a,2021-06-06,51.0,1004.0,38.0,572
Rasmussen (Pulse Opinion Research),0.93,lv,2021-06-06,48.0,1500.0,49.0,277
Morning Consult,1.0,a,2021-06-06,53.0,45000.0,39.0,218
RMG Research,0.85,rv,2021-06-05,55.0,1200.0,39.0,555
"Cor Services, Inc.",0.6,lv,2021-06-05,50.0,519.0,42.0,688
Morning Consult,1.0,a,2021-06-05,53.0,45000.0,39.0,218
Morning Consult,1.0,a,2021-06-04,53.0,45000.0,39.0,218
Ipsos,1.05,a,2021-06-03,53.57,1005.0,42.33,154
Rasmussen (Pulse Opinion Research),0.93,lv,2021-06-03,49.0,1500.0,49.0,277
Morning Consult,1.0,a,2021-06-03,53.0,45000.0,38.0,218
Rasmussen (Pulse Opinion Research),0.93,lv,2021-06-02,50.0,1500.0,49.0,277
Morning Consult,1.0,a,2021-06-02,53.0,45000.0,38.0,218
Rasmussen (Pulse Opinion Research),0.93,lv,2021-06-01,51.0,1500.0,48.0,277
HarrisX,1.05,rv,2021-06-01,61.0,1893.0,39.0,133
YouGov,0.93,rv,2021-06-01,50.0,1275.0,43.0,391
Morning Consult,1.0,a,2021-06-01,53.0,45000.0,38.0,218
Rasmussen (Pulse Opinion Research),0.93,lv,2021-05-31,53.0,1500.0,45.0,277
Morning Consult,1.0,a,2021-05-31,54.0,45000.0,38.0,218
Rasmussen (Pulse Opinion Research),0.93,lv,2021-05-30,53.0,1500.0,45.0,277
Morning Consult,1.0,a,2021-05-30,54.0,45000.0,38.0,218
Morning Consult,1.0,a,2021-05-29,56.0,2199.0,37.0,218
Morning Consult,1.0,a,2021-05-29,54.0,45000.0,38.0,218
TIPP,1.3,rv,2021-05-28,59.0,1006.0,32.0,144
Morning Consult,1.0,a,2021-05-28,54.0,45000.0,38.0,218
Ipsos,1.05,a,2021-05-27,51.57,1005.0,44.01,154
Zogby,0.85,lv,2021-05-27,60.0,868.0,37.0,395
Rasmussen (Pulse Opinion Research),0.93,lv,2021-05-27,55.0,1500.0,43.0,277
Morning Consult,1.0,a,2021-05-27,54.0,45000.0,38.0,218
Rasmussen (Pulse Opinion Research),0.93,lv,2021-05-26,53.0,1500.0,45.0,277
YouGov,0.93,a,2021-05-26,49.0,1588.0,41.0,391
"Cor Services, Inc.",0.6,lv,2021-05-26,51.0,519.0,42.0,688
Morning Consult,1.0,a,2021-05-26,54.0,45000.0,38.0,218
Rasmussen (Pulse Opinion Research),0.93,lv,2021-05-25,55.0,1500.0,43.0,277
YouGov,0.93,rv,2021-05-25,52.0,1248.0,42.0,391
Beacon Research/Shaw & Company,1.0,rv,2021-05-25,54.0,1003.0,42.0,103
Morning Consult,1.0,a,2021-05-25,54.0,45000.0,38.0,218
Morning Consult,1.0,rv,2021-05-24,55.0,1993.0,41.0,218
Morning Consult,1.0,a,2021-05-24,54.0,2200.0,39.0,218
Rasmussen (Pulse Opinion Research),0.93,lv,2021-05-24,54.0,1500.0,44.0,277
Global Strategy Group/GBAO/Navigator Research,0.9,rv,2021-05-24,53.0,1204.0,44.0,413
Quinnipiac,1.0,rv,2021-05-24,49.0,1174.0,42.0,267
Morning Consult,1.0,a,2021-05-24,54.0,45000.0,39.0,218
Léger,0.9,a,2021-05-23,51.0,1002.0,38.0,572
Rasmussen (Pulse Opinion Research),0.93,lv,2021-05-23,54.0,1500.0,43.0,277
Morning Consult,1.0,a,2021-05-23,54.0,45000.0,39.0,218
Morning Consult,1.0,a,2021-05-22,56.0,2200.0,38.0,218
Morning Consult,1.0,a,2021-05-22,54.0,45000.0,39.0,218
Morning Consult,1.0,a,2021-05-21,54.0,45000.0,38.0,218
John Zogby Strategies,0.9,lv,2021-05-20,59.0,1011.0,40.0,583
Ipsos,1.05,a,2021-05-20,55.87,1004.0,39.12,154
Harris Poll,1.05,rv,2021-05-20,62.0,973.0,38.0,133
Harris Poll,1.05,rv,2021-05-20,61.0,973.0,36.0,133
Rasmussen (Pulse Opinion Research),0.93,lv,2021-05-20,52.0,1500.0,46.0,277
Morning Consult,1.0,rv,2021-05-20,59.0,1994.0,38.0,218
American Research Group,0.75,rv,2021-05-20,57.0,987.0,37.0,9
Morning Consult,1.0,a,2021-05-20,54.0,45000.0,38.0,218
Rasmussen (Pulse Opinion Research),0.93,lv,2021-05-19,52.0,1500.0,46.0,277
HarrisX,1.05,rv,2021-05-19,60.0,1889.0,40.0,133
Morning Consult,1.0,a,2021-05-19,57.0,2200.0,38.0,218
Morning Consult,1.0,a,2021-05-19,54.0,45000.0,38.0,218
Rasmussen (Pulse Opinion Research),0.93,lv,2021-05-18,51.0,1500.0,48.0,277
YouGov,0.93,rv,2021-05-18,51.0,1239.0,43.0,391
McLaughlin,0.4,lv,2021-05-18,56.0,1000.0,43.0,203
Morning Consult,1.0,a,2021-05-18,54.0,45000.0,38.0,218
Gallup,1.05,a,2021-05-18,54.0,1016.0,40.0,112
Morning Consult,1.0,a,2021-05-17,56.0,2200.0,38.0,218
Morning Consult,1.0,rv,2021-05-17,54.0,1992.0,42.0,218
Echelon Insights,0.9,rv,2021-05-17,56.0,1132.0,42.0,407
Rasmussen (Pulse Opinion Research),0.93,lv,2021-05-17,50.0,1500.0,48.0,277
Morning Consult,1.0,a,2021-05-17,54.0,45000.0,37.0,218
Morning Consult,1.0,a,2021-05-16,56.0,2200.0,36.0,218
Rasmussen (Pulse Opinion Research),0.93,lv,2021-05-16,51.0,1500.0,48.0,277
Morning Consult,1.0,a,2021-05-16,54.0,45000.0,37.0,218
Morning Consult,1.0,a,2021-05-15,57.0,2200.0,38.0,218
Morning Consult,1.0,a,2021-05-15,55.0,2200.0,39.0,218
Morning Consult,1.0,a,2021-05-15,54.0,45000.0,37.0,218
Morning Consult,1.0,a,2021-05-14,54.0,45000.0,37.0,218
Rasmussen (Pulse Opinion Research),0.93,lv,2021-05-13,49.0,1500.0,50.0,277
YouGov,0.93,a,2021-05-13,49.0,1561.0,40.0,391
Morning Consult,1.0,a,2021-05-13,54.0,45000.0,37.0,218
Ipsos,1.05,a,2021-05-12,55.91,1005.0,38.48,154
Rasmussen (Pulse Opinion Research),0.93,lv,2021-05-12,50.0,1500.0,48.0,277
Morning Consult,1.0,a,2021-05-12,55.0,45000.0,37.0,218
Rasmussen (Pulse Opinion Research),0.93,lv,2021-05-11,48.0,1500.0,50.0,277
Civiqs,0.75,rv,2021-05-11,48.0,1464.0,46.0,471
YouGov,0.93,rv,2021-05-11,52.0,1204.0,44.0,391
Morning Consult,1.0,a,2021-05-11,55.0,45000.0,37.0,218
Rasmussen (Pulse Opinion Research),0.93,lv,2021-05-10,50.0,1500.0,48.0,277
Global Strategy Group/GBAO/Navigator Research,0.9,rv,2021-05-10,55.0,1000.0,41.0,413
Morning Consult,1.0,a,2021-05-10,55.0,45000.0,37.0,218
Redfield & Wilton Strategies,0.3,rv,2021-05-09,52.0,1500.0,36.0,562
Morning Consult,1.0,rv,2021-05-09,56.0,1994.0,40.0,218
Léger,0.9,a,2021-05-09,52.0,1003.0,38.0,572
Morning Consult,1.0,a,2021-05-09,55.0,2200.0,39.0,218
Rasmussen (Pulse Opinion Research),0.93,lv,2021-05-09,50.0,1500.0,48.0,277
Morning Consult,1.0,a,2021-05-09,55.0,45000.0,36.0,218
Morning Consult,1.0,a,2021-05-08,55.0,45000.0,36.0,218
Marist,1.0,rv,2021-05-07,53.0,1075.0,42.0,183
Morning Consult,1.0,a,2021-05-07,56.0,45000.0,36.0,218
Rasmussen (Pulse Opinion Research),0.93,lv,2021-05-06,51.0,1500.0,47.0,277
Morning Consult,1.0,a,2021-05-06,56.0,2200.0,38.0,218
Trafalgar Group,1.05,lv,2021-05-06,48.3,1574.0,47.5,338
Morning Consult,1.0,a,2021-05-06,56.0,45000.0,36.0,218
Ipsos,1.05,a,2021-05-05,54.92,1005.0,38.02,154
Rasmussen (Pulse Opinion Research),0.93,lv,2021-05-05,51.0,1500.0,47.0,277
Morning Consult,1.0,a,2021-05-05,56.0,45000.0,36.0,218
HarrisX,1.05,rv,2021-05-04,60.0,939.0,40.0,133
Rasmussen (Pulse Opinion Research),0.93,lv,2021-05-04,50.0,1500.0,47.0,277
YouGov,0.93,rv,2021-05-04,49.0,1187.0,46.0,391
Morning Consult,1.0,a,2021-05-04,56.0,45000.0,36.0,218
Morning Consult,1.0,a,2021-05-03,57.0,2200.0,36.0,218
Morning Consult,1.0,rv,2021-05-03,57.0,1991.0,38.0,218
Rasmussen (Pulse Opinion Research),0.93,lv,2021-05-03,49.0,1500.0,49.0,277
AP-NORC,0.6,a,2021-05-03,63.0,1842.0,36.0,397
Morning Consult,1.0,a,2021-05-03,56.0,45000.0,36.0,218
Morning Consult,1.0,a,2021-05-02,53.0,2200.0,39.0,218
Morning Consult,1.0,a,2021-05-02,55.0,2200.0,38.0,218
Rasmussen (Pulse Opinion Research),0.93,lv,2021-05-02,48.0,1500.0,49.0,277
Morning Consult,1.0,a,2021-05-02,56.0,45000.0,36.0,218
Morning Consult,1.0,a,2021-05-01,56.0,45000.0,36.0,218
TIPP,1.3,rv,2021-04-30,55.0,1057.0,35.0,144
Morning Consult,1.0,a,2021-04-30,55.0,45000.0,36.0,218
Rasmussen (Pulse Opinion Research),0.93,lv,2021-04-29,47.0,1500.0,51.0,277
YouGov,0.93,a,2021-04-29,54.0,1558.0,37.0,391
Harris Poll,1.05,rv,2021-04-29,59.0,940.0,38.0,133
Harris Poll,1.05,rv,2021-04-29,60.0,924.0,40.0,133
Morning Consult,1.0,a,2021-04-29,55.0,45000.0,36.0,218
Ipsos,1.05,a,2021-04-28,55.18,1005.0,37.62,154
Morning Consult,1.0,a,2021-04-28,60.0,2200.0,33.0,218
Rasmussen (Pulse Opinion Research),0.93,lv,2021-04-28,48.0,1500.0,50.0,277
HarrisX,1.05,rv,2021-04-28,60.0,2819.0,40.0,133
Morning Consult,1.0,a,2021-04-28,55.0,45000.0,36.0,218
Rasmussen (Pulse Opinion Research),0.93,lv,2021-04-27,48.0,1500.0,50.0,277
YouGov,0.93,rv,2021-04-27,52.0,1219.0,41.0,391
Morning Consult,1.0,a,2021-04-27,55.0,45000.0,36.0,218
Morning Consult,1.0,a,2021-04-27,57.0,22000.0,36.0,218
Morning Consult,1.0,rv,2021-04-26,57.0,14872.0,39.0,218
Morning Consult,1.0,rv,2021-04-26,60.0,1991.0,37.0,218
Rasmussen (Pulse Opinion Research),0.93,lv,2021-04-26,50.0,1500.0,48.0,277
Global Strategy Group/GBAO/Navigator Research,0.9,rv,2021-04-26,53.0,989.0,44.0,413
SSRS,0.65,rv,2021-04-26,52.0,,45.0,297
Morning Consult,1.0,a,2021-04-26,55.0,45000.0,36.0,218
Léger,0.9,a,2021-04-25,51.0,1003.0,39.0,572
Research Co.,1.0,a,2021-04-25,53.0,1000.0,42.0,449
Rasmussen (Pulse Opinion Research),0.93,lv,2021-04-25,51.0,1500.0,47.0,277
Morning Consult,1.0,rv,2021-04-25,57.0,1986.0,37.0,218
Morning Consult,1.0,a,2021-04-25,54.0,45000.0,36.0,218
YouGov,0.93,a,2021-04-24,58.0,2527.0,42.0,391
Morning Consult,1.0,a,2021-04-24,54.0,45000.0,37.0,218
YouGov,0.93,a,2021-04-23,51.0,1000.0,44.0,391
Morning Consult,1.0,a,2021-04-23,54.0,45000.0,37.0,218
Echelon Insights,0.9,rv,2021-04-23,54.0,1043.0,43.0,407
Ipsos,1.05,a,2021-04-22,54.49,1004.0,38.76,154
Morning Consult,1.0,a,2021-04-22,58.0,2200.0,35.0,218
Rasmussen (Pulse Opinion Research),0.93,lv,2021-04-22,52.0,1500.0,46.0,277
Morning Consult,1.0,a,2021-04-22,54.0,45000.0,37.0,218
Rasmussen (Pulse Opinion Research),0.93,lv,2021-04-21,50.0,1500.0,49.0,277
Marist,1.0,rv,2021-04-21,54.0,1688.0,44.0,183
Beacon Research/Shaw & Company,1.0,rv,2021-04-21,54.0,1002.0,43.0,103
ABC/Washington Post,1.2,a,2021-04-21,52.21,1007.0,42.09,3
Morning Consult,1.0,a,2021-04-21,54.0,45000.0,37.0,218
Gallup,1.05,a,2021-04-21,57.0,961.0,40.0,112
Rasmussen (Pulse Opinion Research),0.93,lv,2021-04-20,50.0,1500.0,48.0,277
YouGov,0.93,rv,2021-04-20,51.0,1225.0,42.0,391
American Research Group,0.75,rv,2021-04-20,59.0,988.0,35.0,9
Hart Research Associates/Public Opinion Strategies,1.1,rv,2021-04-20,51.0,790.0,43.0,221
Change Research,0.85,rv,2021-04-20,51.0,1025.0,49.0,48
Morning Consult,1.0,a,2021-04-20,53.0,45000.0,38.0,218
Morning Consult,1.0,rv,2021-04-19,58.0,1992.0,38.0,218
HarrisX,1.05,rv,2021-04-19,61.0,2881.0,39.0,133
Morning Consult,1.0,a,2021-04-19,58.0,2200.0,35.0,218
Rasmussen (Pulse Opinion Research),0.93,lv,2021-04-19,50.0,1500.0,49.0,277
Morning Consult,1.0,a,2021-04-19,58.0,2200.0,35.0,218
Morning Consult,1.0,a,2021-04-19,54.0,45000.0,38.0,218
Rasmussen (Pulse Opinion Research),0.93,lv,2021-04-18,50.0,1500.0,48.0,277
Hart Research Associates,0.65,rv,2021-04-18,57.0,1200.0,43.0,113
Morning Consult,1.0,a,2021-04-18,54.0,45000.0,37.0,218
Morning Consult,1.0,a,2021-04-17,54.0,45000.0,37.0,218
Ipsos,1.05,a,2021-04-16,55.0,4423.0,40.0,154
Ipsos,1.05,a,2021-04-16,55.0,4423.0,40.0,154
Morning Consult,1.0,a,2021-04-16,55.0,45000.0,37.0,218
Ipsos,1.05,a,2021-04-15,54.35,1005.0,37.56,154
Rasmussen (Pulse Opinion Research),0.93,lv,2021-04-15,49.0,1500.0,49.0,277
Morning Consult,1.0,a,2021-04-15,54.0,45000.0,37.0,218
Rasmussen (Pulse Opinion Research),0.93,lv,2021-04-14,50.0,1500.0,48.0,277
Morning Consult,1.0,a,2021-04-14,54.0,45000.0,37.0,218
Rasmussen (Pulse Opinion Research),0.93,lv,2021-04-13,50.0,1500.0,48.0,277
YouGov,0.93,rv,2021-04-13,51.0,1263.0,43.0,391
HarrisX,1.05,rv,2021-04-13,61.0,3766.0,39.0,133
McLaughlin,0.4,lv,2021-04-13,57.5,1000.0,40.5,203
Marist,1.0,rv,2021-04-13,52.0,1066.0,41.0,183
Morning Consult,1.0,a,2021-04-13,55.0,45000.0,36.0,218
Morning Consult,1.0,rv,2021-04-12,59.0,1992.0,37.0,218
Civiqs,0.75,rv,2021-04-12,48.0,1541.0,47.0,471
Rasmussen (Pulse Opinion Research),0.93,lv,2021-04-12,50.0,1500.0,48.0,277
Monmouth U.,1.0,rv,2021-04-12,53.0,743.0,43.0,215
Quinnipiac,1.0,rv,2021-04-12,50.0,1114.0,42.0,267
Global Strategy Group/GBAO/Navigator Research,0.9,rv,2021-04-12,55.0,1256.0,42.0,413
Morning Consult,1.0,a,2021-04-12,55.0,45000.0,36.0,218
Hart Research Associates/Public Opinion Strategies,1.1,a,2021-04-11,47.0,802.0,41.0,221
Rasmussen (Pulse Opinion Research),0.93,lv,2021-04-11,50.0,1500.0,48.0,277
Winston,0.9,rv,2021-04-11,54.0,1000.0,35.0,385
Morning Consult,1.0,a,2021-04-11,54.0,45000.0,37.0,218
Pew,0.9,a,2021-04-11,59.0,5109.0,39.0,253
Morning Consult,1.0,a,2021-04-10,55.0,45000.0,36.0,218
Morning Consult,1.0,a,2021-04-09,55.0,45000.0,36.0,218
Ipsos,1.05,a,2021-04-08,56.17,1005.0,37.46,154
Rasmussen (Pulse Opinion Research),0.93,lv,2021-04-08,50.0,1500.0,48.0,277
YouGov,0.93,a,2021-04-08,52.0,1649.0,38.0,391
Morning Consult,1.0,a,2021-04-08,55.0,45000.0,36.0,218
Rasmussen (Pulse Opinion Research),0.93,lv,2021-04-07,51.0,1500.0,48.0,277
Morning Consult,1.0,a,2021-04-07,55.0,45000.0,36.0,218
Rasmussen (Pulse Opinion Research),0.93,lv,2021-04-06,49.0,1500.0,50.0,277
YouGov,0.93,rv,2021-04-06,52.0,1243.0,42.0,391
Morning Consult,1.0,a,2021-04-06,55.0,45000.0,36.0,218
HarrisX,1.05,rv,2021-04-05,61.0,2732.0,39.0,133
Rasmussen (Pulse Opinion Research),0.93,lv,2021-04-05,47.0,1500.0,51.0,277
Morning Consult,1.0,a,2021-04-05,55.0,45000.0,36.0,218
Morning Consult,1.0,rv,2021-04-04,59.0,1989.0,37.0,218
Morning Consult,1.0,a,2021-04-04,54.0,2200.0,39.0,218
Rasmussen (Pulse Opinion Research),0.93,lv,2021-04-04,47.0,1500.0,51.0,277
Morning Consult,1.0,a,2021-04-04,55.0,45000.0,36.0,218
TIPP,1.3,rv,2021-04-03,59.0,1215.0,34.0,144
Morning Consult,1.0,a,2021-04-03,54.0,45000.0,36.0,218
Morning Consult,1.0,a,2021-04-02,57.0,2200.0,36.0,218
Morning Consult,1.0,a,2021-04-02,57.0,2200.0,36.0,218
Morning Consult,1.0,a,2021-04-02,54.0,45000.0,36.0,218
Ipsos,1.05,a,2021-04-01,54.0,1005.0,40.8,154
Rasmussen (Pulse Opinion Research),0.93,lv,2021-04-01,48.0,1500.0,50.0,277
Morning Consult,1.0,a,2021-04-01,54.0,45000.0,36.0,218
Rasmussen (Pulse Opinion Research),0.93,lv,2021-03-31,48.0,1500.0,50.0,277
Morning Consult,1.0,a,2021-03-31,54.0,45000.0,36.0,218
Rasmussen (Pulse Opinion Research),0.93,lv,2021-03-30,49.0,1500.0,49.0,277
YouGov,0.93,rv,2021-03-30,50.0,1259.0,43.0,391
Morning Consult,1.0,a,2021-03-30,54.0,45000.0,36.0,218
Morning Consult,1.0,rv,2021-03-29,58.0,2043.0,39.0,218
AP-NORC,0.6,a,2021-03-29,61.0,1166.0,38.0,397
Rasmussen (Pulse Opinion Research),0.93,lv,2021-03-29,48.0,1500.0,50.0,277
Morning Consult,1.0,a,2021-03-29,55.0,2041.0,38.0,218
Global Strategy Group/GBAO/Navigator Research,0.9,rv,2021-03-29,55.0,1002.0,41.0,413
GBAO,0.6,rv,2021-03-29,54.0,2000.0,43.0,109
Morning Consult,1.0,a,2021-03-29,54.0,45000.0,36.0,218
Rasmussen (Pulse Opinion Research),0.93,lv,2021-03-28,49.0,1500.0,50.0,277
