pollster,pollster_rating_id,NCPP/AAPOR/Roper,#_polls,total_weight,correct,poll_WAR,house_bias,weighted_average_error,raw_average_error,weighted_reverted_error,percentile,avg_poll_WAR,house_bias_effect,adj_error,raw_p_m,plus_minus,grade,grade_value,fte_grade,fte_plus_minus
University of Colorado,580,no,2,1.3796,1,0.4724,6.7105,5.6675,6.715,0.5078,0.177,0.0472,0,6.6753,0.421,0.4,C/D,0.60,B/C,0.814
John Zogby Strategies/EMI Research Solutions,583,no,2,1.8,1,0.5967,-3.7356,4.7277,1.11,-0.591,0.942,0.0597,0,4.6367,-0.922,-0.9,B/C,0.90,B/C,0.354
Kiaer Research,585,no,2,1.9,1,0.7416,5.6453,6.4779,10.615,0.8923,0.08,0.0742,0,7.8702,1.208,1.2,D/D,0.30,B/C,1.077
Auburn University at Montgomery,588,no,2,1.9,1,0,0.2189,5.9434,7.86,0.023,0.523,0.0000,0,6.4664,0.283,0.3,C/D,0.60,B/C,0.849
Cardinal Point Analytics (CardinalGPS),591,no,3,2.75,1,1.0793,-6.9022,4.6609,2.4867,-0.6528,0.95,0.1079,0,4.5081,-1.006,-1.0,B/C,0.90,B/C,0.225
Colby College,593,no,6,5.5,0.6667,-1.3653,0.0582,6.9171,8.31,1.0855,0.059,-0.1365,0,8.5026,1.624,1.6,D/D,0.30,B/C,0.903
El Nuevo D√≠a/The Research Office,599,no,2,1.65,1,0.536,0,4.8838,1.735,-0.4075,0.903,0.0536,0,4.9763,-0.698,-0.7,B/C,0.90,B/C,0.354
Jorge Ben√≠tez,600,no,4,3.3,0.5,-0.928,0,5.3831,5.13,0.314,0.273,-0.0928,0,6.1971,0.106,0.1,B/C,0.90,B/C,0.602
"University of Nevada, Las Vegas Lee Business School",609,no,5,4.6,0.6,-0.3771,0.1433,4.453,3.196,-0.1851,0.763,-0.0377,0,4.7679,-0.835,-0.8,B/C,0.90,B/C,0.260
Brandwatch Qriously,610,no,3,3,1,0.8043,2.72,5.8245,6.55,0.7032,0.122,0.0804,0,7.0277,0.653,0.7,C/D,0.60,B/C,0.920
Citizen Data,616,no,12,11.5,0.5833,-1.1554,2.6782,7.0139,7.0417,2.1289,0.009,-0.0963,0.41955,10.06235,2.651,2.7,D+,0.50,B/C,1.071
MWR Strategies,617,no,2,1.4733,0.5,-0.0327,-2.9797,4.9659,1.785,-0.2473,0.824,-0.0033,0,5.2186,-0.538,-0.5,B/C,0.90,B/C,0.410
J.L. Partners,619,no,2,2,1,0.5362,3.72,5.9208,7.55,0.6688,0.139,0.0536,0,7.0896,0.694,0.7,C/D,0.60,B/C,0.872
Global Marketing Research Services,621,no,1,1,1,0.2681,5.72,5.9172,9.55,0.5344,0.165,0.0268,0,6.9516,0.603,0.6,C/D,0.60,B/C,0.900
Open Model Project,629,no,2,1.8,0,-1.1972,-5.145,5.539,5.655,0.5173,0.173,-0.1197,0,6.5563,0.343,0.3,C/D,0.60,B/C,0.798
The Justice Collaborative Institute,630,no,2,1.9,1,0.8442,3.4232,5.7235,6.67,0.5265,0.171,0.0844,0,6.75,0.470,0.5,C/D,0.60,B/C,0.874
Cometrends,631,no,1,1,1,0.2681,3.72,5.7172,7.55,0.3344,0.261,0.0268,0,6.5516,0.339,0.3,C/D,0.60,B/C,0.788
Bluegrass Community and Technical College,632,no,2,1.9,1,0.0024,-0.7768,6.5617,10.935,0.4052,0.226,0.0002,0,7.4669,0.942,0.9,C/D,0.60,B/C,1.108
Long Island University,633,no,1,1,1,0.2681,2.72,5.6172,6.55,0.2344,0.301,0.0268,0,6.3516,0.208,0.2,C/D,0.60,B/C,0.765
AYTM,635,no,4,4,0.75,0.4966,0.2075,4.7591,3.6275,-0.2306,0.803,0.0497,0,5.0285,-0.664,-0.7,B/C,0.90,B/C,0.587
Gazette Communications,640,no,2,0.6092,1,0.2438,4.0514,5.6751,8.065,0.2015,0.326,0.0244,0,6.3766,0.224,0.2,C/D,0.60,B/C,0.767
The Polling Company Inc./National Research Inc.,644,no,1,0.6988,0,-0.5977,1.71,5.312,2.63,-0.2334,0.807,-0.0598,0,5.5786,-0.301,-0.3,B/C,0.90,B/C,0.529
USC Schwarzenegger Institute,648,no,1,1,1,0,6.55,5.7462,7.84,0.3623,0.246,0.0000,0,6.6085,0.377,0.4,C/D,0.60,B/C,0.851
Southern Research Group,649,no,1,0.3124,0,-0.8144,0,5.5843,7.78,0,0.557,-0.0814,0,6.0843,0.032,0.0,B/C,0.90,B/C,0.702
Reconnect Research/Probolsky Research,651,no,2,1.8,0.5,-0.1972,-1.145,4.819,1.655,-0.2027,0.773,-0.0197,0,5.1163,-0.606,-0.6,B/C,0.90,B/C,0.561
GOP Calls,654,no,2,0.841,1,0,0,6.8194,21.04,0.8453,0.084,0.0000,0,8.1647,1.402,1.4,D/D,0.30,B/C,1.300
Bainbridge Media Group,656,no,1,0.3805,1,0,0,6.1096,21.18,0.4097,0.224,0.0000,0,7.0193,0.647,0.6,C/D,0.60,B/C,0.953
Detroit Free Press,663,no,1,0.2959,1,0.286,1.8,5.6161,8.98,0.0533,0.468,0.0286,0,6.1694,0.088,0.1,B/C,0.90,B/C,0.715
The Kitchens Group,664,yes,1,0.3805,0,-0.5242,0,5.7367,11.38,0.1487,0.368,-0.0524,0,5.8854,-0.099,-0.1,B/C,0.90,B/C,0.132
Sky Research,665,no,1,0.6988,0,-0.5977,-4.39,5.7382,8.73,0.1928,0.332,-0.0598,0,6.431,0.260,0.3,C/D,0.60,B/C,0.715
Tufts University,666,no,1,1,1,0.2681,-1.28,5.2172,2.55,-0.1656,0.748,0.0268,0,5.5516,-0.319,-0.3,B/C,0.90,B/C,0.548
University of Wyoming,667,no,3,2.7,1,0,0,8.1302,15.1533,1.8084,0.025,0.0000,0,10.4386,2.899,2.9,D/D,0.30,C/D,1.639
Rethink Priorities,672,no,2,1.8,1,0.5967,-0.2356,5.2345,3.79,-0.0842,0.677,0.0597,0,5.6503,-0.254,10.0,F,0.00,F,0.502
University of Georgia Survey Research Center,674,no,1,0.2479,1,0.1725,-0.6,5.6193,9.78,0.0149,0.533,0.0173,0,6.1342,0.065,0.1,B/C,0.90,B/C,0.676
,,,,,,,,,,,,,,,,,,,,
